Timestamp, Focus, Enjoyment, Zone
1643579055114,65.94169,53.699554,62.269047
1643579055359,65.55167,53.504044,61.937378
1643579055614,65.16365,53.308308,61.607048
1643579055869,64.78532,53.117504,61.284973
1643579056111,64.41285,52.928123,60.96743
1643579056354,64.075874,52.683346,60.658115
1643579056608,63.739452,52.43753,60.348873
1643579056863,63.40653,52.200924,60.04485
1643579057114,63.030724,51.92068,59.697712
1643579057355,62.660522,51.64229,59.355053
1643579057609,62.170864,51.30755,58.91187
1643579057864,61.684418,50.973373,58.471104
1643579058103,61.22435,50.75884,58.084698
1643579058348,60.76777,50.54469,57.700844
1643579058608,60.32013,50.24297,57.29698
1643579058866,59.873753,49.940136,56.893665
1643579059114,59.43843,49.64354,56.49996
1643579059356,59.1854,49.482754,56.274605
1643579059603,58.935402,49.32243,56.05151
1643579059857,58.789772,49.35179,55.958378
1643579060079,58.659893,49.39161,55.879406
1643579060320,58.585995,49.254242,55.78647
1643579060573,58.51528,49.10335,55.691704
1643579060830,58.44839,48.954308,55.600166
1643579061088,58.374332,48.73663,55.483025
1643579061349,58.303032,48.52006,55.36814
1643579061605,58.306183,48.301414,55.304752
1643579061861,58.314518,48.086758,55.246193
1643579062117,58.345913,47.944183,55.225395
1643579062385,58.367886,47.791718,55.195038
1643579062653,58.36472,47.63136,55.144714
1643579062918,58.37573,47.467804,55.10335
1643579063142,58.386234,47.286606,55.056347
1643579063398,58.39774,47.106194,55.010277
1643579063657,58.412624,46.929443,54.96767
1643579063915,58.415524,46.76024,54.918938
1643579064151,58.427696,46.59608,54.878212
1643579064397,58.45473,46.440548,54.85048
1643579064648,58.48966,46.284885,54.828228
1643579064904,58.48561,46.10543,54.771557
1643579065144,58.47487,45.914715,54.70682
1643579065375,58.468113,45.73459,54.648056
1643579065629,58.498337,45.500633,54.599022
1643579065884,58.530895,45.272655,54.553425
1643579066105,58.570724,45.147675,54.54381
1643579066350,58.612343,45.02584,54.536392
1643579066605,58.65554,44.907505,54.531128
1643579066867,58.61065,44.824722,54.474873
1643579067099,58.567204,44.750336,54.422146
1643579067342,58.61674,44.77826,54.4652
1643579067597,58.668434,44.80847,54.510445
1643579067851,58.73482,44.785515,54.55003
1643579068082,58.80318,44.77394,54.59441
1643579068322,58.873047,44.76425,54.640408
1643579068576,58.941486,44.66631,54.658936
1643579068834,59.0114,44.571117,54.679314
1643579069070,59.128475,44.330437,54.689064
1643579069298,59.245583,44.094704,54.70032
1643579069552,59.37968,43.878647,54.72937
1643579069806,59.515175,43.680046,54.764637
1643579070044,59.69647,43.490505,54.834682
1643579070288,59.89983,43.325195,54.92744
1643579070540,60.10427,43.160896,55.02126
1643579070788,60.35861,43.048897,55.165695
1643579071026,60.609802,42.939964,55.30885
1643579071263,60.865845,42.82929,55.45488
1643579071512,61.11909,42.720158,55.59941
1643579071768,61.372902,42.655373,55.75764
1643579072012,61.62328,42.593002,55.914196
1643579072266,61.87458,42.532066,56.071827
1643579072511,62.161736,42.536045,56.27403
1643579072736,62.437637,42.5438,56.469486
1643579072960,62.767403,42.652607,56.732964
1643579073201,63.09528,42.75711,56.993828
1643579073448,63.421925,42.863235,57.25432
1643579073709,63.71652,43.12608,57.539387
1643579073957,64.00441,43.389446,57.81992
1643579074179,64.27979,43.67206,58.097473
1643579074425,64.55628,43.95443,58.375725
1643579074679,64.68741,44.072453,58.502922
1643579074937,64.811005,44.17573,58.620422
1643579075164,64.92003,44.276203,58.726883
1643579075416,65.00711,44.336838,58.80603
1643579075676,65.09212,44.398003,58.88388
1643579075926,65.0934,44.431038,58.89469
1643579076170,65.08646,44.46239,58.89924
1643579076416,65.043564,44.507393,58.882713
1643579076671,64.99831,44.552296,58.864502
1643579076923,64.95768,44.650696,58.865585
1643579077154,64.91468,44.751343,58.86568
1643579077409,64.872444,44.85354,58.86677
1643579077657,64.957275,44.985073,58.965614
1643579077911,65.03785,45.115273,59.061073
1643579078135,65.1578,45.20319,59.171417
1643579078380,65.27539,45.29181,59.280315
1643579078630,65.40795,45.380962,59.399853
1643579078885,65.537224,45.469227,59.516827
1643579079110,65.66069,45.552986,59.62838
1643579079364,65.82205,45.766422,59.805363
1643579079619,65.980896,45.97922,59.980392
1643579079874,66.08038,46.21388,60.12043
1643579080101,66.17603,46.44451,60.256577
1643579080354,66.26387,46.70213,60.395348
1643579080600,66.37647,46.9787,60.55714
1643579080855,66.487976,47.254913,60.71806
1643579081099,66.64714,47.52034,60.9091
1643579081333,66.785,47.764786,61.078938
1643579081582,67.071014,48.05373,61.36583
1643579081837,67.34763,48.34268,61.646145
1643579082069,67.62108,48.625008,61.922256
1643579082308,67.8106,48.990562,62.16459
1643579082564,68.00098,49.358456,62.40822
1643579082819,68.22426,49.793503,62.69503
1643579083053,68.44298,50.21989,62.97605
1643579083287,68.636,50.62033,63.2313
1643579083537,68.82882,51.021137,63.486515
1643579083792,69.020485,51.420418,63.740463
1643579084019,69.151054,51.70279,63.916576
1643579084243,69.27841,51.97913,64.08863
1643579084497,69.39484,52.175045,64.2289
1643579084752,69.50934,52.367577,64.366806
1643579084989,69.676956,52.53933,64.53567
1643579085227,69.84222,52.7072,64.701706
1643579085454,70.000885,52.86276,64.85944
1643579085710,70.17285,53.039467,65.03284
1643579085947,70.33942,53.20556,65.19926
1643579086187,70.5199,53.335724,65.36464
1643579086437,70.69942,53.46475,65.529015
1643579086696,70.94909,53.602337,65.74506
1643579086949,71.20779,53.732567,65.965225
